🕘️更新时间,#genre#
Smithsonian Channel,http://192.168.3.53:8080/hls/-7927720864028228601.m3u8
MLB Network,http://192.168.3.53:8080/hls/1252635484369225636.m3u8
HGTV,http://192.168.3.53:8080/hls/8047864903498143964.m3u8
Food Network,http://192.168.3.53:8080/hls/-6117457969159383769.m3u8
Cooking Channel,http://192.168.3.53:8080/hls/9006276997067309635.m3u8
Magnolia Network,http://192.168.3.53:8080/hls/2427088294078894127.m3u8
TLC,http://192.168.3.53:8080/hls/-4827783313734738459.m3u8

香港电台,#genre#

台湾电台,#genre#

国内电台,#genre#
浙江之声,http://192.168.3.53:8080/hls/-1233330963183006069.m3u8
浙江交通之声,http://192.168.3.53:8080/hls/-987024558015662475.m3u8
浙江城市之声,http://192.168.3.53:8080/hls/-7975051091839735530.m3u8
浙江经济广播,http://192.168.3.53:8080/hls/-2994333656119119052.m3u8
湖北之声,http://192.168.3.53:8080/hls/3082487923647304830.m3u8
湖北城市之声,http://192.168.3.53:8080/hls/5425280928823054870.m3u8
楚天交通广播,http://192.168.3.53:8080/hls/7634151799998196477.m3u8
安徽交通广播,http://192.168.3.53:8080/hls/6468428182466797345.m3u8
安徽经济广播,http://192.168.3.53:8080/hls/-8125207246724888574.m3u8
福建东南广播,http://192.168.3.53:8080/hls/2362189952689812429.m3u8
山东交通广播,http://192.168.3.53:8080/hls/5774545379486075828.m3u8
